MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Threeseasonporch,ScreenPorch,PoolArea,Fence,SaleType,SaleCondition,LivLotRatio,Spaciousness,Bldg_1Fam,Bldg_Duplex,Bldg_Twnhs,Bldg_TwnhsE,Bldg_None,PorchTypes,MedNhbdArea,Feature1,Feature2,MSSubClass_encoded,SalePrice
0,3,70.0,11200,1,2,1,3,3,4,19,2,0,2,6,6,1965,1965,3,1,6,6,2,0.0,3,3,1,3,3,1,3,906.0,1,134.0,1040.0,1,5,2,5,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,8,0,0,5,1965.0,1,1.0,384.0,3,3,3,0,0,0,0,0,0,0,8,4,0.09285714285714286,208.0,1040,0,0,0,0,0,1052.0,2080.0,2043600.0,185723.88327353122,129500.0
5,3,85.0,11924,1,2,2,3,3,4,16,2,0,5,10,6,2005,2006,3,1,14,15,3,286.0,5,3,2,5,3,1,6,998.0,1,177.0,1175.0,1,5,2,5,1182,1142,0,2324,1.0,0.0,3,0,4,1,5,11,8,2,4,3,2005.0,3,3.0,736.0,3,3,3,147,21,0,0,0,0,0,6,5,0.1949010399194901,211.27272727272728,2324,0,0,0,0,2,1832.0,3499.0,2357050.0,239516.44621503996,345000.0
0,3,0.0,12968,1,2,3,3,3,4,19,2,0,2,6,7,1962,1962,3,1,6,10,2,0.0,3,3,1,3,3,1,5,737.0,1,175.0,912.0,1,3,2,5,912,0,0,912,1.0,0.0,1,0,2,1,3,4,8,0,0,5,1962.0,1,1.0,352.0,3,3,3,140,0,0,0,176,0,0,8,4,0.0703269586674892,228.0,912,0,0,0,0,2,1052.0,1824.0,1789344.0,185723.88327353122,144000.0
0,3,91.0,10652,1,2,2,3,3,4,5,2,0,2,8,6,2006,2007,1,1,12,13,3,306.0,4,3,2,4,3,3,1,0.0,1,1494.0,1494.0,1,5,2,5,1494,0,0,1494,0.0,0.0,2,0,3,1,4,7,8,1,4,1,2006.0,2,3.0,840.0,3,3,3,160,33,0,0,0,0,0,6,5,0.14025535110777318,213.42857142857142,1494,0,0,0,0,2,1504.0,2988.0,2998458.0,185723.88327353122,279500.0
0,3,0.0,10920,1,2,2,3,3,0,12,2,0,2,7,6,1960,1960,3,1,8,8,1,212.0,3,3,1,3,3,1,4,733.0,1,520.0,1253.0,1,3,2,5,1253,0,0,1253,1.0,0.0,1,1,2,1,3,5,8,1,2,1,1960.0,2,1.0,352.0,3,3,3,0,213,176,0,0,0,2,8,4,0.11474358974358974,250.6,1253,0,0,0,0,2,1200.0,2506.0,2455880.0,185723.88327353122,157000.0
3,4,51.0,6120,1,2,1,3,3,0,3,2,0,1,8,9,1929,2001,1,1,13,14,2,0.0,3,3,0,3,3,1,1,0.0,1,832.0,832.0,1,5,2,4,854,0,0,854,0.0,0.0,1,0,2,1,3,5,8,0,0,5,1991.0,1,2.0,576.0,3,3,3,48,112,0,0,0,0,4,8,4,0.13954248366013072,170.8,854,0,0,0,0,2,1231.0,1686.0,1664832.0,113579.6768455099,132000.0
0,3,0.0,11241,1,2,2,3,3,1,12,2,0,2,7,8,1970,1970,1,1,13,14,1,180.0,3,3,1,3,3,1,5,578.0,1,426.0,1004.0,1,5,2,5,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,8,1,3,1,1970.0,3,2.0,480.0,3,3,3,0,0,0,0,0,0,0,8,4,0.08931589716217418,200.8,1004,0,0,0,0,0,1200.0,2008.0,1977880.0,185723.88327353122,149000.0
10,3,72.0,10791,1,2,1,3,3,4,19,2,2,2,5,6,1967,1967,1,1,8,8,2,0.0,3,3,3,0,0,0,0,0.0,0,0.0,0.0,1,3,2,5,1296,0,0,1296,0.0,0.0,2,0,2,2,3,6,8,0,0,4,1967.0,1,2.0,516.0,3,3,3,0,0,0,0,0,0,0,8,4,0.12010008340283569,216.0,0,1296,0,0,0,0,1052.0,1296.0,0.0,136401.15759132418,90000.0
0,3,66.0,13695,1,2,1,3,3,4,20,5,0,2,6,6,2004,2004,1,1,12,13,2,0.0,3,3,2,3,3,1,6,646.0,1,468.0,1114.0,1,5,2,5,1114,0,0,1114,1.0,0.0,1,1,3,1,4,6,8,0,0,5,2004.0,1,2.0,576.0,3,3,3,0,102,0,0,0,0,0,8,4,0.08134355604235122,185.66666666666666,1114,0,0,0,0,1,1575.0,2228.0,2232456.0,185723.88327353122,159000.0
0,3,70.0,7560,1,2,1,3,3,4,12,2,0,2,6,7,1958,1965,3,1,3,10,2,0.0,3,3,1,3,3,1,2,504.0,1,525.0,1029.0,1,3,2,5,1339,0,0,1339,0.0,0.0,1,0,3,1,3,6,7,0,0,1,1958.0,1,1.0,294.0,3,3,3,0,0,0,0,0,0,3,0,0,0.17711640211640212,223.16666666666666,1339,0,0,0,0,0,1200.0,2368.0,2021985.0,185723.88327353122,139000.0
5,3,101.0,14215,1,2,2,3,3,0,16,2,0,5,9,6,2005,2006,1,1,12,13,1,380.0,4,3,2,5,3,3,1,0.0,1,1158.0,1158.0,1,5,2,5,1158,1218,0,2376,0.0,0.0,3,1,4,1,4,9,8,1,4,3,2005.0,2,3.0,853.0,3,3,3,240,154,0,0,0,0,0,6,5,0.1671473795286669,264.0,2376,0,0,0,0,2,1832.0,3534.0,2322948.0,239516.44621503996,325300.0
3,4,57.0,7449,1,0,1,0,3,4,9,2,0,1,8,8,1930,1950,1,1,13,14,2,0.0,3,3,2,3,3,1,1,0.0,1,637.0,637.0,1,5,2,3,1108,0,0,1108,0.0,0.0,1,0,3,1,4,6,8,1,4,1,1930.0,1,1.0,280.0,3,3,1,0,0,205,0,0,0,4,8,4,0.14874479795945764,184.66666666666666,1108,0,0,0,0,1,1128.0,1745.0,1242150.0,113579.6768455099,139400.0
0,3,75.0,9742,1,2,1,3,3,4,5,2,0,2,9,6,2002,2002,3,1,12,13,1,281.0,4,3,2,4,3,1,1,0.0,1,1777.0,1777.0,1,5,2,5,1795,0,0,1795,0.0,0.0,2,0,3,1,4,7,8,1,4,1,2002.0,2,2.0,534.0,3,3,3,171,159,0,0,0,0,0,8,4,0.18425374666392938,256.42857142857144,1795,0,0,0,0,2,1504.0,3572.0,3557554.0,185723.88327353122,230000.0
11,4,44.0,4224,1,2,1,3,3,4,10,2,4,2,6,8,1976,1976,1,1,5,5,2,0.0,3,3,2,4,3,1,6,840.0,1,200.0,1040.0,1,3,2,5,1060,0,0,1060,1.0,0.0,1,0,3,1,3,6,8,1,3,1,1976.0,1,2.0,572.0,3,3,3,100,110,0,0,0,0,0,8,4,0.2509469696969697,176.66666666666666,0,0,0,1060,0,2,1092.0,2100.0,2055040.0,200903.4742109404,129900.0
0,3,0.0,8246,1,2,2,3,3,4,19,2,0,2,6,9,1968,2001,1,1,9,10,2,0.0,3,4,1,3,3,2,3,188.0,5,204.0,1060.0,1,5,2,5,1060,0,0,1060,1.0,0.0,1,0,3,1,4,6,8,1,3,1,1968.0,1,1.0,270.0,3,3,3,406,90,0,0,0,0,3,8,4,0.12854717438758187,176.66666666666666,1060,0,0,0,0,2,1052.0,2120.0,2121060.0,185723.88327353122,154000.0
0,3,110.0,14230,1,2,1,3,3,0,16,2,0,2,9,6,2007,2007,1,1,12,13,3,640.0,4,3,2,4,3,1,1,0.0,1,1566.0,1566.0,1,5,2,5,1600,0,0,1600,0.0,0.0,2,0,3,1,4,7,8,1,4,1,2007.0,2,3.0,890.0,3,3,3,0,56,0,0,0,0,0,8,4,0.11243851018973998,228.57142857142858,1600,0,0,0,0,1,1832.0,3166.0,3142962.0,185723.88327353122,256300.0
0,3,60.0,7200,1,2,1,3,3,0,12,2,0,2,6,8,1951,2000,1,1,13,14,2,0.0,3,3,1,3,3,2,4,234.0,3,180.0,900.0,1,3,2,5,900,0,0,900,0.0,1.0,1,0,3,1,4,5,8,0,0,5,2005.0,1,2.0,576.0,3,3,3,222,32,0,0,0,0,0,8,4,0.125,180.0,900,0,0,0,0,2,1200.0,1800.0,1800000.0,185723.88327353122,134800.0
0,3,98.0,11478,1,2,1,3,3,4,16,2,0,2,9,6,2007,2008,1,1,12,13,3,200.0,4,3,2,5,3,1,6,1218.0,1,486.0,1704.0,1,5,2,5,1704,0,0,1704,1.0,0.0,2,0,3,1,4,7,8,1,4,1,2008.0,2,3.0,772.0,3,3,3,0,50,0,0,0,0,0,8,4,0.14845791949817042,243.42857142857142,1704,0,0,0,0,1,1832.0,3408.0,3421632.0,185723.88327353122,306000.0
0,3,47.0,16321,1,2,2,3,3,1,12,2,0,2,6,7,1957,1997,1,1,8,8,2,0.0,3,3,1,3,3,4,4,1277.0,1,207.0,1484.0,1,3,2,5,1600,0,0,1600,1.0,0.0,1,0,2,1,3,6,8,2,4,1,1957.0,2,1.0,319.0,3,3,3,288,258,0,0,0,0,0,8,4,0.09803320874946388,266.6666666666667,1600,0,0,0,0,2,1200.0,3084.0,2963548.0,185723.88327353122,207500.0
1,4,60.0,6324,1,2,2,3,3,4,3,1,0,2,5,7,1927,1950,1,1,8,8,2,0.0,3,3,0,3,3,1,1,0.0,1,520.0,520.0,1,2,1,5,520,0,0,520,0.0,0.0,1,0,1,1,2,4,8,0,0,5,1920.0,1,1.0,240.0,2,3,3,49,0,87,0,0,0,0,8,4,0.08222643896268185,130.0,520,0,0,0,0,2,1231.0,1040.0,1014000.0,96306.45774753665,68500.0
6,0,50.0,8500,1,1,1,3,3,4,9,1,0,5,5,5,1920,1950,2,1,3,3,2,0.0,3,2,0,3,3,1,1,0.0,1,649.0,649.0,1,3,1,5,649,668,0,1317,0.0,0.0,1,0,3,1,3,6,8,0,0,5,1920.0,1,1.0,250.0,3,2,1,0,54,172,0,0,0,3,8,4,0.15494117647058825,219.5,1317,0,0,0,0,2,1128.0,1966.0,1265550.0,166639.37908697338,40000.0
0,3,0.0,8544,1,2,2,3,3,1,19,2,0,2,6,7,1966,2006,1,1,6,6,2,0.0,3,3,1,3,3,1,1,0.0,1,1228.0,1228.0,1,4,2,5,1228,0,0,1228,0.0,0.0,1,1,3,1,4,6,8,0,0,1,1966.0,1,1.0,271.0,3,3,3,0,65,0,0,0,0,3,8,4,0.14372659176029962,204.66666666666666,1228,0,0,0,0,1,1052.0,2456.0,2463368.0,185723.88327353122,149350.0
0,3,85.0,11049,1,2,1,3,3,0,5,2,0,2,9,6,2007,2007,1,1,12,13,2,0.0,4,3,2,5,3,3,1,0.0,1,1234.0,1234.0,1,5,2,5,1234,0,0,1234,0.0,0.0,2,0,3,1,4,7,8,0,0,1,2007.0,2,2.0,484.0,3,3,3,0,30,0,0,0,0,0,8,4,0.11168431532265363,176.28571428571428,1234,0,0,0,0,1,1504.0,2468.0,2476638.0,185723.88327353122,179900.0
0,3,70.0,10552,1,2,2,3,3,4,12,2,0,2,6,6,1959,1959,3,1,3,3,2,0.0,3,3,1,3,3,1,3,1018.0,1,380.0,1398.0,1,4,2,5,1700,0,0,1700,0.0,1.0,1,1,4,1,4,6,8,1,4,1,1959.0,2,2.0,447.0,3,3,3,0,38,0,0,0,0,0,8,4,0.16110689916603488,283.3333333333333,1700,0,0,0,0,1,1200.0,3098.0,2738682.0,185723.88327353122,165500.0
11,3,60.0,7313,1,2,1,3,3,4,16,2,4,2,10,6,2005,2005,3,1,8,8,1,246.0,5,3,2,5,3,1,6,1153.0,1,408.0,1561.0,1,5,2,5,1561,0,0,1561,1.0,0.0,2,0,2,1,5,6,8,1,4,1,2005.0,3,2.0,556.0,3,3,3,203,47,0,0,0,0,0,8,4,0.21345549022289073,260.1666666666667,0,0,0,1561,0,2,1832.0,3122.0,3129805.0,200903.4742109404,277500.0
5,3,108.0,13418,1,2,1,3,3,4,16,2,0,5,9,6,2004,2005,1,1,12,13,3,132.0,4,3,2,5,3,3,1,0.0,1,1117.0,1117.0,1,5,2,5,1132,1320,0,2452,0.0,0.0,3,1,4,1,4,9,8,1,4,3,2004.0,3,3.0,691.0,3,3,3,113,32,0,0,0,0,0,8,4,0.18273960351766283,272.44444444444446,2452,0,0,0,0,2,1832.0,3569.0,2239585.0,239516.44621503996,309000.0
0,3,112.0,10859,1,2,1,3,3,0,5,2,0,2,6,6,1994,1995,1,1,12,13,2,0.0,3,3,2,4,3,1,1,0.0,1,1097.0,1097.0,1,5,2,5,1097,0,0,1097,0.0,0.0,1,1,3,1,3,6,8,0,0,1,1995.0,1,2.0,672.0,3,3,3,392,64,0,0,0,0,0,8,4,0.10102219357215213,182.83333333333334,1097,0,0,0,0,2,1504.0,2194.0,2188515.0,185723.88327353122,145000.0
0,3,74.0,8532,1,2,1,3,3,4,12,2,0,2,6,7,1954,1990,3,1,13,14,1,650.0,3,3,1,3,3,1,3,1213.0,1,84.0,1297.0,1,4,2,5,1297,0,0,1297,0.0,1.0,1,0,3,1,3,5,8,1,3,1,1954.0,3,2.0,498.0,3,3,3,0,0,0,0,0,0,0,8,4,0.15201593999062354,259.4,1297,0,0,0,0,0,1200.0,2594.0,2581030.0,185723.88327353122,153000.0
0,3,68.0,7922,1,2,1,3,3,4,12,2,0,2,6,8,1953,2007,1,1,12,13,2,0.0,3,4,1,3,3,1,6,731.0,1,326.0,1057.0,1,3,2,5,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,8,0,0,5,1953.0,1,1.0,246.0,3,3,3,0,52,0,0,0,0,0,8,0,0.13342590254986114,211.4,1057,0,0,0,0,1,1200.0,2114.0,2121399.0,185723.88327353122,109000.0
10,3,65.0,6040,1,2,1,3,3,4,7,2,2,2,5,6,1955,1955,1,1,0,10,2,0.0,3,3,2,0,0,0,0,0.0,0,0.0,0.0,1,3,1,2,1152,0,0,1152,0.0,0.0,2,0,2,2,2,6,8,0,0,6,1955.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,8,1,0.19072847682119207,192.0,0,1152,0,0,0,0,1195.5,1152.0,0.0,136401.15759132418,82000.0
0,3,84.0,8658,1,2,1,3,3,4,12,2,0,2,7,6,1965,1965,1,1,13,14,1,101.0,3,3,1,3,3,1,3,643.0,1,445.0,1088.0,1,5,2,5,1324,0,0,1324,0.0,0.0,2,0,3,1,3,6,8,1,3,1,1965.0,2,2.0,440.0,3,3,3,0,138,0,0,0,0,2,8,0,0.15292215292215292,220.66666666666666,1324,0,0,0,0,1,1200.0,2412.0,2137920.0,185723.88327353122,160000.0
0,3,115.0,16905,1,2,1,3,3,4,23,2,0,2,6,7,1959,1959,1,1,12,13,2,0.0,3,4,1,3,3,4,4,967.0,1,383.0,1350.0,1,4,2,5,1328,0,0,1328,0.0,1.0,1,1,2,1,3,5,8,2,4,1,1959.0,2,1.0,308.0,3,3,2,0,104,0,0,0,0,0,8,4,0.07855664004732328,265.6,1328,0,0,0,0,1,1650.5,2678.0,2644650.0,185723.88327353122,170000.0
9,3,0.0,9180,1,2,2,3,3,1,20,2,0,6,6,8,1983,1983,1,1,6,6,2,0.0,3,3,1,4,3,3,5,747.0,2,0.0,840.0,1,4,2,5,884,0,0,884,1.0,0.0,1,0,2,1,4,5,8,0,0,1,1983.0,2,2.0,504.0,3,4,3,240,0,0,0,0,0,3,8,4,0.0962962962962963,176.8,884,0,0,0,0,1,1575.0,1724.0,1665720.0,149645.85458047944,144000.0
0,3,0.0,9200,1,2,2,3,3,1,5,2,0,2,6,7,1975,1980,3,1,12,13,2,0.0,3,3,1,4,3,3,2,280.0,4,167.0,938.0,1,3,2,5,938,0,0,938,1.0,0.0,1,0,3,1,3,5,8,0,0,5,1977.0,1,1.0,308.0,3,3,3,145,0,0,0,0,0,3,8,4,0.10195652173913043,187.6,938,0,0,0,0,1,1504.0,1876.0,1857240.0,185723.88327353122,130250.0
0,3,70.0,7945,1,2,1,3,3,4,12,2,0,2,6,7,1959,1959,1,1,3,14,2,0.0,3,3,1,3,3,1,5,179.0,4,465.0,1150.0,1,5,2,4,1150,0,0,1150,1.0,0.0,1,0,3,1,3,6,8,0,0,1,1959.0,2,1.0,300.0,3,3,3,0,0,0,0,0,0,0,8,4,0.144745122718691,191.66666666666666,1150,0,0,0,0,0,1200.0,2300.0,2252850.0,185723.88327353122,141000.0
11,3,61.0,7658,1,2,1,3,3,4,16,2,4,2,10,6,2005,2005,3,1,8,8,1,412.0,5,3,2,5,3,1,6,456.0,1,1296.0,1752.0,1,5,2,5,1752,0,0,1752,1.0,0.0,2,0,2,1,5,6,8,1,4,1,2005.0,2,2.0,576.0,3,3,3,196,82,0,0,0,0,0,8,4,0.2287803604074171,292.0,0,0,0,1752,0,2,1832.0,3504.0,3512760.0,200903.4742109404,319900.0
4,3,48.0,12822,1,2,2,3,3,1,11,2,0,0,8,6,2003,2003,1,1,12,13,2,0.0,4,3,2,5,3,1,6,1351.0,1,83.0,1434.0,1,5,2,5,1518,631,0,2149,1.0,0.0,1,1,1,1,4,6,8,1,5,1,2003.0,2,2.0,670.0,3,3,3,168,43,0,0,198,0,0,8,0,0.16760255810326002,358.1666666666667,2149,0,0,0,0,3,1282.0,3583.0,2872302.0,142556.16601399644,239686.0
0,1,84.0,11096,1,2,1,3,3,4,21,2,0,2,9,6,2006,2006,1,1,12,13,2,0.0,4,3,2,4,3,3,6,24.0,1,1632.0,1656.0,1,5,2,5,1656,0,0,1656,0.0,0.0,2,0,3,1,4,7,8,0,0,1,2006.0,2,3.0,826.0,3,3,3,0,146,0,0,0,0,0,8,4,0.14924297043979812,236.57142857142858,1656,0,0,0,0,1,1555.0,3312.0,3321936.0,185723.88327353122,249700.0
15,4,33.0,4456,1,2,1,3,3,4,17,2,1,5,5,6,1920,2008,1,1,8,8,2,0.0,3,3,0,3,3,1,1,0.0,1,736.0,736.0,1,4,2,5,736,716,0,1452,0.0,0.0,2,0,2,3,3,8,8,0,0,6,1920.0,0,0.0,0.0,0,0,1,0,0,102,0,0,0,0,6,5,0.3258527827648115,181.5,0,0,0,0,0,1,1374.0,2188.0,1477888.0,134138.21215039954,113000.0
0,3,66.0,7742,1,2,1,3,3,4,19,2,0,2,6,8,1966,1966,1,1,6,6,2,0.0,3,3,1,3,3,1,4,763.0,1,192.0,955.0,1,5,2,5,955,0,0,955,1.0,0.0,1,0,3,1,3,6,8,0,0,1,1966.0,1,1.0,386.0,3,3,3,0,0,0,0,0,0,3,8,4,0.12335313872384397,159.16666666666666,955,0,0,0,0,0,1052.0,1910.0,1877530.0,185723.88327353122,127000.0
5,3,0.0,13869,1,2,3,3,3,0,8,2,0,5,7,7,1997,1997,1,1,12,13,2,0.0,3,3,2,4,3,3,6,182.0,1,612.0,794.0,1,4,2,5,794,676,0,1470,0.0,1.0,2,0,3,1,3,6,8,0,0,1,1997.0,3,2.0,388.0,3,3,3,0,75,0,0,0,0,0,8,4,0.10599178022928835,245.0,1470,0,0,0,0,1,1560.0,2264.0,1585618.0,239516.44621503996,177000.0
4,4,52.0,6240,1,2,1,3,3,4,3,2,0,0,7,7,1934,1950,1,1,13,14,2,0.0,3,3,2,3,3,1,1,0.0,1,816.0,816.0,1,3,2,5,816,0,360,1176,0.0,0.0,1,0,3,1,3,6,8,1,4,5,1985.0,1,2.0,528.0,3,3,3,112,0,0,0,0,0,3,8,4,0.18846153846153846,136.0,1176,0,0,0,0,1,1231.0,1992.0,1591200.0,142556.16601399644,114500.0
10,4,110.0,8472,0,2,3,0,3,0,9,8,2,2,6,6,1963,1963,1,1,13,14,2,0.0,2,3,1,4,3,4,2,104.0,6,0.0,816.0,1,3,1,5,816,0,0,816,1.0,0.0,1,0,2,1,3,5,8,0,0,4,1963.0,1,2.0,516.0,3,3,3,106,0,0,0,0,0,0,8,4,0.09631728045325778,163.2,0,816,0,0,0,1,1128.0,1632.0,1601808.0,136401.15759132418,110000.0
0,3,68.0,50271,1,2,2,2,3,4,24,2,0,2,10,6,1981,1987,1,7,14,15,2,0.0,4,3,1,5,3,4,6,1810.0,1,32.0,1842.0,1,4,2,5,1842,0,0,1842,2.0,0.0,0,1,0,1,4,5,8,1,4,1,1981.0,3,3.0,894.0,3,3,3,857,72,0,0,0,0,0,8,4,0.036641403592528494,368.4,1842,0,0,0,0,2,1706.5,3684.0,3660054.0,185723.88327353122,385000.0
8,3,60.0,7134,1,2,1,0,3,4,12,2,0,7,6,6,1955,1955,1,1,8,8,2,0.0,3,3,1,3,3,1,5,384.0,1,0.0,384.0,1,3,2,5,1360,0,0,1360,0.0,0.0,1,0,3,1,3,6,7,1,3,5,1962.0,1,2.0,572.0,3,3,3,0,50,0,0,0,0,3,8,4,0.1906363891225119,226.66666666666666,1360,0,0,0,0,1,1200.0,1744.0,750720.0,170763.47238450177,130000.0
0,3,100.0,10175,1,2,2,3,3,4,12,2,0,2,7,6,1964,1964,1,1,6,10,1,272.0,3,3,1,3,3,1,4,490.0,1,935.0,1425.0,1,4,2,5,1425,0,0,1425,0.0,0.0,2,0,3,1,3,7,8,1,4,1,1964.0,2,2.0,576.0,3,3,3,0,0,0,407,0,0,0,8,4,0.14004914004914004,203.57142857142858,1425,0,0,0,0,1,1200.0,2850.0,2798700.0,185723.88327353122,180500.0
